slim_id	slim_name	entrez_gene_id	gene_symbol	score
DOID:0050156	idiopathic pulmonary fibrosis	50	ACO2	0.6
DOID:0050156	idiopathic pulmonary fibrosis	59	ACTA2	1.0
DOID:0050156	idiopathic pulmonary fibrosis	136	ADORA2B	0.9
DOID:0050156	idiopathic pulmonary fibrosis	165	AEBP1	1.2
DOID:0050156	idiopathic pulmonary fibrosis	177	AGER	1.3
DOID:0050156	idiopathic pulmonary fibrosis	183	AGT	0.8
DOID:0050156	idiopathic pulmonary fibrosis	207	AKT1	1.1
DOID:0050156	idiopathic pulmonary fibrosis	213	ALB	1.1
DOID:0050156	idiopathic pulmonary fibrosis	356	FASLG	1.3
DOID:0050156	idiopathic pulmonary fibrosis	362	AQP5	1.1
DOID:0050156	idiopathic pulmonary fibrosis	383	ARG1	0.7
DOID:0050156	idiopathic pulmonary fibrosis	387	RHOA	0.8
DOID:0050156	idiopathic pulmonary fibrosis	417	ART1	0.5
DOID:0050156	idiopathic pulmonary fibrosis	419	ART3	0.6
DOID:0050156	idiopathic pulmonary fibrosis	495	ATP4A	0.5
DOID:0050156	idiopathic pulmonary fibrosis	655	BMP7	0.5
DOID:0050156	idiopathic pulmonary fibrosis	656	BMP8B	0.5
DOID:0050156	idiopathic pulmonary fibrosis	799	CALCR	0.6
DOID:0050156	idiopathic pulmonary fibrosis	822	CAPG	0.7
DOID:0050156	idiopathic pulmonary fibrosis	836	CASP3	0.7
DOID:0050156	idiopathic pulmonary fibrosis	857	CAV1	1.2
DOID:0050156	idiopathic pulmonary fibrosis	871	SERPINH1	1.3
DOID:0050156	idiopathic pulmonary fibrosis	920	CD4	1.5
DOID:0050156	idiopathic pulmonary fibrosis	925	CD8A	1.5
DOID:0050156	idiopathic pulmonary fibrosis	947	CD34	0.6
DOID:0050156	idiopathic pulmonary fibrosis	959	CD40LG	0.7
DOID:0050156	idiopathic pulmonary fibrosis	963	CD53	0.5
DOID:0050156	idiopathic pulmonary fibrosis	968	CD68	0.9
DOID:0050156	idiopathic pulmonary fibrosis	973	CD79A	0.8
DOID:0050156	idiopathic pulmonary fibrosis	977	CD151	0.6
DOID:0050156	idiopathic pulmonary fibrosis	999	CDH1	1.4
DOID:0050156	idiopathic pulmonary fibrosis	1000	CDH2	0.8
DOID:0050156	idiopathic pulmonary fibrosis	1026	CDKN1A	0.6
DOID:0050156	idiopathic pulmonary fibrosis	1032	CDKN2D	0.8
DOID:0050156	idiopathic pulmonary fibrosis	1116	CHI3L1	1.1
DOID:0050156	idiopathic pulmonary fibrosis	1215	CMA1	0.7
DOID:0050156	idiopathic pulmonary fibrosis	1234	CCR5	0.9
DOID:0050156	idiopathic pulmonary fibrosis	1235	CCR6	0.6
DOID:0050156	idiopathic pulmonary fibrosis	1236	CCR7	0.9
DOID:0050156	idiopathic pulmonary fibrosis	1241	LTB4R	0.8
DOID:0050156	idiopathic pulmonary fibrosis	1271	CNTFR	0.7
DOID:0050156	idiopathic pulmonary fibrosis	1277	COL1A1	0.8
DOID:0050156	idiopathic pulmonary fibrosis	1278	COL1A2	0.6
DOID:0050156	idiopathic pulmonary fibrosis	1281	COL3A1	1.1
DOID:0050156	idiopathic pulmonary fibrosis	1293	COL6A3	0.8
